county,state,fips,code,flag,population
Shasta,California,6089,CA,B,180080
Medina,Ohio,39103,OH, ,179746
Newport News city,Virginia,51700,VA, ,179225
Peoria,Illinois,17143,IL, ,179179
Kanawha,West Virginia,54039,WV, L,178124
Ulster,New York,36111,NY, ,177573
Washington,Utah,49053,UT, ,177556
Shawnee,Kansas,20177,KS, ,176875
Licking,Ohio,39089,OH, ,176862
Midland,Texas,48329,TX, ,176832
Johnson,Texas,48251,TX, ,175817
Bay,Florida,12005,FL, ,174705
Muskegon,Michigan,26121,MI, ,173566
Scott,Iowa,19163,IA, ,172943
Winnebago,Wisconsin,55139,WI, ,171907
McLean,Illinois,17113,IL, ,171517
Aiken,South Carolina,45003,SC, ,170872
Porter,Indiana,18127,IN, ,170389
Hendricks,Indiana,18063,IN, ,170311
Monroe,Pennsylvania,42089,PA, ,170271
Kenosha,Wisconsin,55059,WI, ,169561
Alamance,North Carolina,37001,NC, ,169509
Greene,Ohio,39057,OH, ,168937
Paulding,Georgia,13223,GA, ,168667
Carroll,Maryland,24013,MD, ,168447
Pueblo,Colorado,8101,CO, ,168424
Davidson,North Carolina,37057,NC, ,167609
Maui,Hawaii,15009,HI,H,167417
Kenton,Kentucky,21117,KY, ,166998
Guadalupe,Texas,48187,TX, ,166847
Ector,Texas,48135,TX, ,166223
Kootenai,Idaho,16055,ID, ,165697
Wyandotte,Kansas,20209,KS, ,165429
Lee,Alabama,1081,AL, ,164542
Kent,Rhode Island,44003,RI, ,164292
Beaver,Pennsylvania,42007,PA, ,163929
Chittenden,Vermont,50007,VT, L,163774
Rock,Wisconsin,55105,WI, ,163354
Charles,Maryland,24017,MD, ,163257
Dorchester,South Carolina,45035,SC, ,162809
Portage,Ohio,39133,OH, ,162466
Middlesex,Connecticut,9007,CT, ,162436
Centre,Pennsylvania,42027,PA, ,162385
Yellowstone,Montana,30111,MT, L,161300
Stearns,Minnesota,27145,MN, ,161075
Martin,Florida,12085,FL, ,161000
Hampshire,Massachusetts,25015,MA, ,160830
Indian River,Florida,12061,FL, ,159923
Catawba,North Carolina,37035,NC, ,159551
Alexandria city,Virginia,51510,VA, ,159428
St. Clair,Michigan,26147,MI, ,159128
Rensselaer,New York,36083,NY, ,158714
Jackson,Michigan,26075,MI, ,158510
Sullivan,Tennessee,47163,TN, ,158348
Olmsted,Minnesota,27109,MN, ,158293
Johnson,Indiana,18081,IN, ,158167
Houston,Georgia,13153,GA, ,157863
Fairfield,Ohio,39045,OH, ,157574
Madera,California,6039,CA, ,157327
Columbia,Georgia,13073,GA, ,156714
Comal,Texas,48091,TX, ,156209
Schenectady,New York,36093,NY, ,155299
Rankin,Mississippi,28121,MS, ,155271
Franklin,Pennsylvania,42055,PA, ,155027
Mesa,Colorado,8077,CO, ,154210
Berrien,Michigan,26021,MI, ,153401
Ouachita,Louisiana,22073,LA, ,153279
Bibb,Georgia,13021,GA, ,153159
Kings,California,6031,CA, ,152940
Stafford,Virginia,51179,VA, ,152882
Penobscot,Maine,23019,ME, ,152148
Merrimack,New Hampshire,33013,NH, ,151391
Johnson,Iowa,19103,IA, ,151140
Washington,Maryland,24043,MD, ,151049
Tolland,Connecticut,9013,CT, ,150721
Monroe,Michigan,26115,MI, ,150500
Santa Fe,New Mexico,35049,NM, ,150358
Citrus,Florida,12017,FL, ,149657
Cumberland,New Jersey,34011,NJ, ,149527
Scott,Minnesota,27139,MN, ,149013
Coweta,Georgia,13077,GA, ,148509
Orange,North Carolina,37135,NC, ,148476
Monroe,Indiana,18105,IN, ,148431
Canadian,Oklahoma,40017,OK, ,148306
Sandoval,New Mexico,35043,NM, ,146748
Douglas,Georgia,13097,GA, ,146343
Wilson,Tennessee,47189,TN, ,144657
